T,α,τ,benefit_risk_heuristic,biggest_difference_heuristic,h,highest_prob_heuristic,least_difference_heuristic,neutral_heuristic,optimal
5,0.1,0.2,8.31707914348145,9.48270140296729,-1,9.14200692481851,9.14200692481851,8.1617267458643,8.1570806774718
5,0.2,0.2,8.30540789310196,9.34807203344424,-1,9.18445869887024,9.18445869887024,8.19247476314186,8.19032273549883
5,0.3,0.2,8.32169663134834,9.2607208006687,-1,9.29586753931855,9.29586753931855,8.24540691652049,8.24189033437935
5,0.1,0.4,7.5019620601302,9.03674929975252,-1,8.65549381538978,8.65549381538978,6.31258625327662,6.29880994431948
5,0.2,0.4,7.42454901481329,8.76952592485668,-1,8.67047113032113,8.67047113032113,6.33668817089353,6.32329150067977
5,0.3,0.4,7.38691787195691,8.59435463561739,-1,8.89139339867919,8.89139339867919,6.38999061250571,6.37113609651221
5,0.1,0.6,7.45634486000313,8.42027494581531,-1,7.98296598388897,7.98296598388897,4.40807171097977,4.39408208629617
5,0.2,0.6,7.35912177211655,7.99660320014186,-1,8.00544583209191,8.00544583209191,4.44442643505392,4.43083514735419
5,0.3,0.6,7.30705991957938,7.7286609668037,-1,8.33684959915693,8.33684959915693,4.52492358502903,4.50277293711179
5,0.1,0.8,3.08579216552949,7.22635421421818,-1,7.31023290189615,7.31023290189615,2.46251098366994,2.4529149625598
5,0.2,0.8,5.24304878741649,6.47188527924387,-1,7.34022742294269,7.34022742294269,2.5123541394347,2.50297592305591
5,0.3,0.8,5.18788699532873,5.9914761697608,-1,7.7821289346094,7.7821289346094,2.62158451630529,2.59784586845664
5,0.1,1,0.592178026450461,5.08531888839519,-1,6.63728006921899,6.63728006921899,0.449611458602465,0.449611458602465
5,0.2,1,0.56498231233422,3.84802424760076,-1,6.67480136670638,6.67480136670638,0.514070803339218,0.505721087299418
5,0.3,1,0.702420381367981,3.06969895583231,-1,7.22721749777756,7.22721749777756,0.653604014250969,0.607108509306577
5,0.1,0.2,5.25243943119424,6.09386984265044,-0.8,6.23609657360732,6.23609657360732,5.19510904960221,5.19510904960221
5,0.2,0.2,5.23489080629533,5.89304010505717,-0.8,6.24953070464917,6.24953070464917,5.21448131037194,5.21356111946513
5,0.3,0.2,5.23812027323748,5.75455583927675,-0.8,6.26330837064501,6.26330837064501,5.24903144454332,5.23804537079343
5,0.1,0.4,5.06696050229638,5.90067668685253,-0.8,6.47135230100295,6.47135230100295,4.01009520618801,4.01000965418459
5,0.2,0.4,4.93006569407333,5.48907476544887,-0.8,6.45624491780656,6.45624491780656,4.02179072054352,4.01890024556612
5,0.3,0.4,4.84171409178084,5.20945118495137,-0.8,6.44030350842339,6.44030350842339,4.05493477847575,4.04425229228193
5,0.1,0.6,4.09207535297935,5.61475282556832,-0.8,6.50704938488781,6.50704938488781,2.8007235925774,2.8007235925774
5,0.2,0.6,3.94772998329083,4.94618806168993,-0.8,6.48438805455486,6.48438805455486,2.81835591067161,2.81396428916059
5,0.3,0.6,3.85922832237865,4.50350334036725,-0.8,6.46047568211284,6.46047568211284,2.86825608484282,2.85206156065425
5,0.1,0.8,1.80538987865891,5.24071615075438,-0.8,6.54276048923132,6.54276048923132,1.58205945689429,1.58205945689429
5,0.2,0.8,2.03115274540422,4.23590705724667,-0.8,6.51254504061103,6.51254504061103,1.6058961504215,1.59998091669188
5,0.3,0.8,2.56099200867708,3.56833439040314,-0.8,6.48066153206466,6.48066153206466,1.67288555613687,1.62180043282955
5,0.1,1,0.349877329911441,4.65750774209103,-0.8,6.57848607445571,6.57848607445571,0.349876422618145,0.349876422618145
5,0.2,1,0.333679072678812,3.23806459024003,-0.8,6.54071633077682,6.54071633077682,0.380151081347681,0.329468847150762
5,0.3,1,0.349221439059714,2.29708617409076,-0.8,6.5008615073979,6.5008615073979,0.464555618713525,0.327988216517779
5,0.1,0.2,3.13262297204605,3.69428581112393,-0.6,3.97212300881642,3.97212300881642,2.92937536349937,2.92937536349937
5,0.2,0.2,3.05173829040074,3.45432773711123,-0.6,3.9588602586519,3.9588602586519,2.93895567306169,2.93018061253474
5,0.3,0.2,2.99710199896668,3.28114473439042,-0.6,3.94223439631384,3.94223439631384,2.95783674464339,2.92357170720202
5,0.1,0.4,2.80268710070521,3.91824159075329,-0.6,4.76981014108782,4.76981014108782,2.29025904544068,2.29025904544068
5,0.2,0.4,2.66375534303611,3.4063590346076,-0.6,4.72662894455184,4.72662894455184,2.29129295564535,2.28054827952363
5,0.3,0.4,2.56843433071304,3.05149491726963,-0.6,4.67305200982763,4.67305200982763,2.30695775216719,2.26621427184721
5,0.1,0.6,1.90445232251416,4.13891983910577,-0.6,5.35471521174701,5.35471521174701,1.63318551554078,1.63318551554078
5,0.2,0.6,2.0829956803431,3.31606790082139,-0.6,5.28994341693882,5.28994341693882,1.63475895657361,1.61028825064979
5,0.3,0.6,1.96071003096858,2.75505963880355,-0.6,5.20957801484727,5.20957801484727,1.65829668103377,1.58879537106178
5,0.1,0.8,0.996524711169889,4.35646600830713,-0.6,5.93962028248303,5.93962028248303,0.974722625564962,0.974722625564962
5,0.2,0.8,0.975131933426217,3.20358219846046,-0.6,5.85325788939982,5.85325788939982,0.976867423652268,0.933874079046637
5,0.3,0.8,1.28743384361101,2.4169885390432,-0.6,5.74610401993745,5.74610401993745,1.0083205902884,0.905399288384871
5,0.1,1,0.314476391456652,4.58431552718746,-0.6,6.52452535329591,6.52452535329591,0.314476391456652,0.314476391456652
5,0.2,1,0.251551364770223,3.05938608315004,-0.6,6.41657236193487,6.41657236193487,0.31722179389728,0.247710983206964
5,0.3,1,0.212477751080399,2.01898123200244,-0.6,6.28263002509819,6.28263002509819,0.35663378872655,0.212257703792406
5,0.1,0.2,1.74305054749773,2.09159281738563,-0.4,2.10026663670467,2.10026663670467,1.32230290311417,1.32230290311417
5,0.2,0.2,1.65315350353786,1.83386608111903,-0.4,1.84270845117122,1.84270845117122,1.32428407817962,1.31857720724793
5,0.3,0.2,1.51845414366187,1.6409813215764,-0.4,1.83186359488594,1.83186359488594,1.33118035375035,1.30521231702525
